SYMBOL,SERIES
AARTIIND,EQ
ABB,EQ
ABBOTINDIA,EQ
ABCAPITAL,EQ
ABFRL,EQ
ACC,EQ
ADANIENSOL,EQ
ADANIENT,EQ
ADANIGREEN,EQ
ADANIPORTS,EQ
ALKEM,EQ
AMBUJACEM,EQ
ANGELONE,EQ
APLAPOLLO,EQ
APOLLOHOSP,EQ
APOLLOTYRE,EQ
ASHOKLEY,EQ
ASIANPAINT,EQ
ASTRAL,EQ
ATUL,EQ
AUBANK,EQ
AUROPHARMA,EQ
AXISBANK,EQ
BAJAJ-AUTO,EQ
BAJAJFINSV,EQ
BAJFINANCE,EQ
BALKRISIND,EQ
BANDHANBNK,EQ
BANKBARODA,EQ
BANKINDIA,EQ
BATAINDIA,EQ
BEL,EQ
BERGEPAINT,EQ
BHARATFORG,EQ
BHARTIARTL,EQ
BHEL,EQ
BIOCON,EQ
BOSCHLTD,EQ
BPCL,EQ
BRITANNIA,EQ
BSOFT,EQ
CANBK,EQ
CANFINHOME,EQ
CDSL,EQ
CESC,EQ
CGPOWER,EQ
CHAMBLFERT,EQ
CHOLAFIN,EQ
CIPLA,EQ
COALINDIA,EQ
COFORGE,EQ
COLPAL,EQ
CONCOR,EQ
COROMANDEL,EQ
CROMPTON,EQ
CUB,EQ
CUMMINSIND,EQ
CYIENT,EQ
DABUR,EQ
DALBHARAT,EQ
DEEPAKNTR,EQ
DELHIVERY,EQ
DIVISLAB,EQ
DIXON,EQ
DLF,EQ
DMART,EQ
DRREDDY,EQ
EICHERMOT,EQ
ESCORTS,EQ
EXIDEIND,EQ
FEDERALBNK,EQ
GAIL,EQ
GLENMARK,EQ
GMRAIRPORT,EQ
GNFC,EQ
GODREJCP,EQ
GODREJPROP,EQ
GRANULES,EQ
GRASIM,EQ
GUJGASLTD,EQ
HAL,EQ
HAVELLS,EQ
HCLTECH,EQ
HDFCAMC,EQ
HDFCBANK,EQ
HDFCLIFE,EQ
HEROMOTOCO,EQ
HINDALCO,EQ
HINDCOPPER,EQ
HINDPETRO,EQ
HINDUNILVR,EQ
ICICIBANK,EQ
ICICIGI,EQ
ICICIPRULI,EQ
IDEA,EQ
IDFCFIRSTB,EQ
IEX,EQ
IGL,EQ
INDHOTEL,EQ
INDIAMART,EQ
INDIANB,EQ
INDIGO,EQ
INDUSINDBK,EQ
INDUSTOWER,EQ
INFY,EQ
IOC,EQ
IPCALAB,EQ
IRCTC,EQ
IRFC,EQ
ITC,EQ
JINDALSTEL,EQ
JIOFIN,EQ
JKCEMENT,EQ
JSWENERGY,EQ
JSWSTEEL,EQ
JUBLFOOD,EQ
KALYANKJIL,EQ
KOTAKBANK,EQ
KPITTECH,EQ
LALPATHLAB,EQ
LAURUSLABS,EQ
LICHSGFIN,EQ
LICI,EQ
LODHA,EQ
LT,EQ
LTF,EQ
LTIM,EQ
LTTS,EQ
LUPIN,EQ
M&M,EQ
M&MFIN,EQ
MANAPPURAM,EQ
MARICO,EQ
MARUTI,EQ
MAXHEALTH,EQ
MCX,EQ
METROPOLIS,EQ
MFSL,EQ
MGL,EQ
MOTHERSON,EQ
MPHASIS,EQ
MRF,EQ
MUTHOOTFIN,EQ
NATIONALUM,EQ
NAUKRI,EQ
NAVINFLUOR,EQ
NESTLEIND,EQ
NMDC,EQ
NTPC,EQ
OBEROIRLTY,EQ
OFSS,EQ
ONGC,EQ
PAGEIND,EQ
PAYTM,EQ
PEL,EQ
PERSISTENT,EQ
PETRONET,EQ
PFC,EQ
PIDILITIND,EQ
PIIND,EQ
PNB,EQ
POLYCAB,EQ
POWERGRID,EQ
PVRINOX,EQ
RAMCOCEM,EQ
RBLBANK,EQ
RECLTD,EQ
RELIANCE,EQ
SAIL,EQ
SBICARD,EQ
SBILIFE,EQ
SBIN,EQ
SHREECEM,EQ
SHRIRAMFIN,EQ
SIEMENS,EQ
SONACOMS,EQ
SRF,EQ
SUNPHARMA,EQ
SUNTV,EQ
SYNGENE,EQ
TATACHEM,EQ
TATACOMM,EQ
TATACONSUM,EQ
TATAELXSI,EQ
TATAMOTORS,EQ
TATAPOWER,EQ
TATASTEEL,EQ
TCS,EQ
TECHM,EQ
TITAN,EQ
TORNTPHARM,EQ
TRENT,EQ
TVSMOTOR,EQ
UBL,EQ
ULTRACEMCO,EQ
UNITDSPR,EQ
UPL,EQ
VBL,EQ
VEDL,EQ
VOLTAS,EQ
WIPRO,EQ
YESBANK,EQ
ZYDUSLIFE,EQ
